ACCT - Accounting;;;;;;;;;;;;;;;
CRN;Subj;Crse;Sec;Cmp;Cred;Title;Days;Time;Cap;Act;Rem;Instructor;Date (MM/DD);Location;Attribute
;;;;;;;;;;;;Click name to see CV;;;
;;;;;;;TR;06:00 pm-06:50 pm;;;;Rita B. Moyes;01/17-05/08;BSBE 308;
32752;BIOL;206;513;CS;4;INTRO MICROBIOLOGY (Syllabus);MWF;09:10 am-10:00 am;20;20;0;Rita B. Moyes (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;MW;07:00 pm-07:50 pm;;;;Rita B. Moyes;01/17-05/08;BSBE 308;
32753;BIOL;206;514;CS;4;INTRO MICROBIOLOGY (Syllabus);MWF;09:10 am-10:00 am;20;15;5;Rita B. Moyes (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;MW;08:00 pm-08:50 pm;;;;Rita B. Moyes;01/17-05/08;BSBE 308;
10338;BIOL;213;501;CS;3;MOLECULAR CELL BIOL (Syllabus);TR;11:10 am-12:25 pm;75;72;3;Jerome Menet (P);01/17-05/08;HECC 203;
;;;;;;(Restrictions/Details);;;;;;;;;
15315;BIOL;213;502;CS;3;MOLECULAR CELL BIOL (Syllabus);TR;02:20 pm-03:35 pm;75;56;19;James Erickson (P);01/17-05/08;CHEM 255;
;;;;;;(Restrictions/Details);;;;;;;;;
27250;BIOL;214;200;CS;3;HNR-GENES ECOLOGY EVOLUTION (Syllabus);MWF;09:10 am-10:00 am;40;40;0;Alan Pepper (P);01/17-05/08;HECC 203;Honors
;;;;;;(Restrictions/Details);;;;;;;;;
10339;BIOL;214;501;CS;3;GENES ECOLOGY EVOLUTION (Syllabus);TR;09:35 am-10:50 am;88;89;-1;Christine Merlin (P);01/17-05/08;HECC 203;
;;;;;;(Restrictions/Details);;;;;;;;;
10340;BIOL;214;502;CS;3;GENES ECOLOGY EVOLUTION (Syllabus);TR;12:45 pm-02:00 pm;88;86;2;Joseph Bernardo (P);01/17-05/08;HECC 203;
;;;;;;(Restrictions/Details);;;;;;;;;
20882;BIOL;285;500;CS;4-Jan;DIRECTED STUDIES;;TBA;0;1;-1;Asha Rao (P);01/17-05/08;TBA;NonTraditional Format Exclude and 3peat Exclusion
;;;;;;(Restrictions/Details);;;;;;;;;
32818;BIOL;285;501;CS;4-Jan;DIRECTED STUDIES;;TBA;0;1;-1;Walter Kemp (P);01/17-05/08;TBA;NonTraditional Format Exclude and 3peat Exclusion
;;;;;;(Restrictions/Details);;;;;;;;;
33350;BIOL;291;220;CS;0-4;HNR-RESEARCH;;TBA;0;1;-1;Steve W. Lockless (P);01/17-05/08;TBA;Honors and NonTraditional Format Exclude and 3peat Exclusion and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
33011;BIOL;291;503;CS;0-4;RESEARCH;;TBA;0;1;-1;Deborah Bell-Pedersen (P);01/17-05/08;TBA;NonTraditional Format Exclude and 3peat Exclusion and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
33372;BIOL;291;507;CS;0-4;RESEARCH;;TBA;0;1;-1;Charles Criscione (P);01/17-05/08;TBA;NonTraditional Format Exclude and 3peat Exclusion and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
33351;BIOL;291;520;CS;0-4;RESEARCH;;TBA;0;1;-1;Steve W. Lockless (P);01/17-05/08;TBA;NonTraditional Format Exclude and 3peat Exclusion and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
33404;BIOL;291;522;CS;0-4;RESEARCH;;TBA;0;1;-1;Michael Manson (P), William B. Cohn;01/17-05/08;TBA;NonTraditional Format Exclude and 3peat Exclusion and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
33371;BIOL;291;524;CS;0-4;RESEARCH;;TBA;0;1;-1;Uel J. Mcmahan (P);01/17-05/08;TBA;NonTraditional Format Exclude and 3peat Exclusion and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
33297;BIOL;291;525;CS;0-4;RESEARCH;;TBA;0;4;-4;Jerome Menet (P);01/17-05/08;TBA;NonTraditional Format Exclude and 3peat Exclusion and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
33131;BIOL;291;528;CS;0-4;RESEARCH;;TBA;0;1;-1;Alan Pepper (P);01/17-05/08;TBA;NonTraditional Format Exclude and 3peat Exclusion and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
33413;BIOL;291;536;CS;0-4;RESEARCH;;TBA;0;2;-2;Michael Smotherman (P);01/17-05/08;TBA;NonTraditional Format Exclude and 3peat Exclusion and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
30508;BIOL;302;500;CS;1;CAREERS IN BIOLOGY (Syllabus);R;03:55 pm-04:55 pm;50;48;2;Marilyn S. Yeager (P);01/17-05/08;BSBE 115;
;;;;;;(Restrictions/Details);;;;;;;;;
10342;BIOL;319;501;CS;4;INTEGRATED HUM AN/PHY I (Syllabus);M;11:30 am-02:20 pm;24;24;0;Gregory H. Whitaker;01/17-05/08;HELD 301;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;TR;09:35 am-10:50 am;;;;William B. Cohn (P);01/17-05/08;HELD 200;
10343;BIOL;319;502;CS;4;INTEGRATED HUM AN/PHY I (Syllabus);M;03:00 pm-05:50 pm;24;24;0;William B. Cohn;01/17-05/08;HELD 301;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;TR;09:35 am-10:50 am;;;;William B. Cohn (P);01/17-05/08;HELD 200;
10346;BIOL;319;503;CS;4;INTEGRATED HUM AN/PHY I (Syllabus);M;06:30 pm-09:20 pm;24;21;3;Jerry D. Norton;01/17-05/08;HELD 301;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;TR;09:35 am-10:50 am;;;;William B. Cohn (P);01/17-05/08;HELD 200;
10347;BIOL;319;504;CS;4;INTEGRATED HUM AN/PHY I (Syllabus);TR;09:35 am-10:50 am;24;23;1;William B. Cohn (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;11:10 am-02:00 pm;;;;Jerry D. Norton;01/17-05/08;HELD 301;
13959;BIOL;319;505;CS;4;INTEGRATED HUM AN/PHY I (Syllabus);TR;09:35 am-10:50 am;24;23;1;William B. Cohn (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;02:20 pm-05:10 pm;;;;William B. Cohn;01/17-05/08;HELD 301;
14176;BIOL;319;506;CS;4;INTEGRATED HUM AN/PHY I (Syllabus);TR;09:35 am-10:50 am;24;22;2;William B. Cohn (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;06:30 pm-09:20 pm;;;;William B. Cohn;01/17-05/08;HELD 301;
18465;BIOL;319;507;CS;4;INTEGRATED HUM AN/PHY I (Syllabus);TR;09:35 am-10:50 am;24;24;0;William B. Cohn (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;W;08:00 am-10:50 am;;;;Jerry D. Norton;01/17-05/08;HELD 301;
19410;BIOL;319;508;CS;4;INTEGRATED HUM AN/PHY I (Syllabus);TR;09:35 am-10:50 am;24;24;0;William B. Cohn (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;W;11:30 am-02:20 pm;;;;William B. Cohn;01/17-05/08;HELD 301;
19411;BIOL;319;509;CS;4;INTEGRATED HUM AN/PHY I (Syllabus);TR;09:35 am-10:50 am;24;24;0;William B. Cohn (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;W;03:00 pm-05:50 pm;;;;William B. Cohn;01/17-05/08;HELD 301;
19593;BIOL;319;510;CS;4;INTEGRATED HUM AN/PHY I (Syllabus);TR;09:35 am-10:50 am;24;23;1;William B. Cohn (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;R;02:20 pm-05:10 pm;;;;William B. Cohn;01/17-05/08;HELD 301;
19594;BIOL;319;511;CS;4;INTEGRATED HUM AN/PHY I (Syllabus);TR;03:55 pm-05:10 pm;24;24;0;William B. Cohn (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;W;06:30 pm-09:20 pm;;;;William B. Cohn;01/17-05/08;HELD 301;
10344;BIOL;319;512;CS;4;INTEGRATED HUM AN/PHY I (Syllabus);TR;03:55 pm-05:10 pm;24;24;0;William B. Cohn (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;R;08:00 am-10:50 am;;;;Jerry D. Norton;01/17-05/08;HELD 301;
10345;BIOL;319;513;CS;4;INTEGRATED HUM AN/PHY I (Syllabus);TR;03:55 pm-05:10 pm;24;24;0;William B. Cohn (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;R;11:10 am-02:00 pm;;;;William B. Cohn;01/17-05/08;HELD 301;
10348;BIOL;319;514;CS;4;INTEGRATED HUM AN/PHY I (Syllabus);TR;03:55 pm-05:10 pm;24;21;3;William B. Cohn (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;R;06:30 pm-09:20 pm;;;;William B. Cohn;01/17-05/08;HELD 301;
10349;BIOL;319;515;CS;4;INTEGRATED HUM AN/PHY I (Syllabus);TR;03:55 pm-05:10 pm;24;24;0;William B. Cohn (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;08:00 am-10:50 am;;;;Jerry D. Norton;01/17-05/08;HELD 301;
10350;BIOL;319;516;CS;4;INTEGRATED HUM AN/PHY I (Syllabus);M;08:00 am-10:50 am;24;14;10;William B. Cohn;01/17-05/08;HELD 301;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;TR;03:55 pm-05:10 pm;;;;William B. Cohn (P);01/17-05/08;HELD 200;
10351;BIOL;319;517;CS;4;INTEGRATED HUM AN/PHY I (Syllabus);M;08:00 am-10:50 am;16;11;5;William B. Cohn;01/17-05/08;HELD 212;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;TR;03:55 pm-05:10 pm;;;;William B. Cohn (P);01/17-05/08;HELD 200;
10352;BIOL;319;518;CS;4;INTEGRATED HUM AN/PHY I (Syllabus);M;11:30 am-02:20 pm;16;16;0;Jerry D. Norton;01/17-05/08;HELD 212;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;TR;03:55 pm-05:10 pm;;;;William B. Cohn (P);01/17-05/08;HELD 200;
10353;BIOL;319;519;CS;4;INTEGRATED HUM AN/PHY I (Syllabus);M;03:00 pm-05:50 pm;16;16;0;William B. Cohn;01/17-05/08;HELD 212;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;TR;03:55 pm-05:10 pm;;;;William B. Cohn (P);01/17-05/08;HELD 200;
13958;BIOL;319;520;CS;4;INTEGRATED HUM AN/PHY I (Syllabus);M;06:30 pm-09:20 pm;16;16;0;William B. Cohn;01/17-05/08;HELD 212;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;TR;03:55 pm-05:10 pm;;;;William B. Cohn (P);01/17-05/08;HELD 200;
10354;BIOL;320;501;CS;4;INTEGRATED HUM AN/PH II (Syllabus);M;11:30 am-02:20 pm;24;24;0;Sherdina E. Romney;01/17-05/08;HELD 300;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;TR;11:10 am-12:25 pm;;;;Lathrop Taylor (P);01/17-05/08;HELD 200;
10355;BIOL;320;502;CS;4;INTEGRATED HUM AN/PH II (Syllabus);M;03:00 pm-05:50 pm;24;24;0;Sherdina E. Romney;01/17-05/08;HELD 300;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;TR;11:10 am-12:25 pm;;;;Lathrop Taylor (P);01/17-05/08;HELD 200;
10356;BIOL;320;503;CS;4;INTEGRATED HUM AN/PH II (Syllabus);M;06:30 pm-09:20 pm;24;24;0;Lathrop Taylor;01/17-05/08;HELD 300;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;TR;11:10 am-12:25 pm;;;;Lathrop Taylor (P);01/17-05/08;HELD 200;
10357;BIOL;320;504;CS;4;INTEGRATED HUM AN/PH II (Syllabus);TR;11:10 am-12:25 pm;24;24;0;Lathrop Taylor (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;08:00 am-10:50 am;;;;Lathrop Taylor;01/17-05/08;HELD 300;
10358;BIOL;320;505;CS;4;INTEGRATED HUM AN/PH II (Syllabus);TR;11:10 am-12:25 pm;24;24;0;Lathrop Taylor (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;02:20 pm-05:10 pm;;;;Sherdina E. Romney;01/17-05/08;HELD 300;
10359;BIOL;320;506;CS;4;INTEGRATED HUM AN/PH II (Syllabus);TR;11:10 am-12:25 pm;24;24;0;Lathrop Taylor (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;06:30 pm-09:20 pm;;;;Lathrop Taylor;01/17-05/08;HELD 300;
10360;BIOL;320;507;CS;4;INTEGRATED HUM AN/PH II (Syllabus);TR;11:10 am-12:25 pm;24;24;0;Lathrop Taylor (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;W;08:00 am-10:50 am;;;;Gregory H. Whitaker;01/17-05/08;HELD 300;
10361;BIOL;320;508;CS;4;INTEGRATED HUM AN/PH II (Syllabus);TR;11:10 am-12:25 pm;24;24;0;Lathrop Taylor (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;W;11:30 am-02:20 pm;;;;Gregory H. Whitaker;01/17-05/08;HELD 300;
10362;BIOL;320;509;CS;4;INTEGRATED HUM AN/PH II (Syllabus);TR;11:10 am-12:25 pm;24;24;0;Lathrop Taylor (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;W;03:00 pm-05:50 pm;;;;Lathrop Taylor;01/17-05/08;HELD 300;
10363;BIOL;320;510;CS;4;INTEGRATED HUM AN/PH II (Syllabus);TR;11:10 am-12:25 pm;24;23;1;Lathrop Taylor (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;R;02:20 pm-05:10 pm;;;;Lathrop Taylor;01/17-05/08;HELD 300;
10364;BIOL;320;511;CS;4;INTEGRATED HUM AN/PH II (Syllabus);TR;02:20 pm-03:35 pm;24;24;0;Lathrop Taylor (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;11:10 am-02:00 pm;;;;Sherdina E. Romney;01/17-05/08;HELD 300;
10365;BIOL;320;512;CS;4;INTEGRATED HUM AN/PH II (Syllabus);TR;02:20 pm-03:35 pm;24;24;0;Lathrop Taylor (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;W;06:30 pm-09:20 pm;;;;Lathrop Taylor;01/17-05/08;HELD 300;
10366;BIOL;320;513;CS;4;INTEGRATED HUM AN/PH II (Syllabus);TR;02:20 pm-03:35 pm;24;24;0;Lathrop Taylor (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;R;08:00 am-10:50 am;;;;Lathrop Taylor;01/17-05/08;HELD 300;
10367;BIOL;320;514;CS;4;INTEGRATED HUM AN/PH II (Syllabus);TR;02:20 pm-03:35 pm;24;24;0;Lathrop Taylor (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;R;11:10 am-02:00 pm;;;;Sherdina E. Romney;01/17-05/08;HELD 300;
10368;BIOL;320;515;CS;4;INTEGRATED HUM AN/PH II (Syllabus);TR;02:20 pm-03:35 pm;24;24;0;Lathrop Taylor (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;R;06:30 pm-09:20 pm;;;;Lathrop Taylor;01/17-05/08;HELD 300;
20162;BIOL;320;516;CS;4;INTEGRATED HUM AN/PH II (Syllabus);TR;02:20 pm-03:35 pm;16;16;0;Lathrop Taylor (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;W;03:00 pm-05:50 pm;;;;Lathrop Taylor;01/17-05/08;HELD 212;
21470;BIOL;320;517;CS;4;INTEGRATED HUM AN/PH II (Syllabus);TR;02:20 pm-03:35 pm;16;16;0;Lathrop Taylor (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;W;06:30 pm-09:20 pm;;;;Gregory H. Whitaker;01/17-05/08;HELD 212;
21471;BIOL;320;518;CS;4;INTEGRATED HUM AN/PH II (Syllabus);TR;02:20 pm-03:35 pm;16;16;0;Lathrop Taylor (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;R;08:00 am-10:50 am;;;;Lathrop Taylor , Gregory H. Whitaker;01/17-05/08;HELD 212;
21472;BIOL;320;519;CS;4;INTEGRATED HUM AN/PH II (Syllabus);TR;02:20 pm-03:35 pm;16;16;0;Lathrop Taylor (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;R;11:10 am-02:00 pm;;;;Gregory H. Whitaker;01/17-05/08;HELD 212;
21474;BIOL;320;520;CS;4;INTEGRATED HUM AN/PH II (Syllabus);TR;02:20 pm-03:35 pm;16;16;0;Lathrop Taylor (P);01/17-05/08;HELD 200;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;R;06:30 pm-09:20 pm;;;;Lathrop Taylor;01/17-05/08;HELD 212;
12575;BIOL;335;501;CS;4;INVERTEBRATE ZOOLOGY (Syllabus);MWF;11:30 am-12:20 pm;14;11;3;Mary Wicksten (P);01/17-05/08;BTLR 309;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;W;03:00 pm-05:50 pm;;;;Mary Wicksten;01/17-05/08;BTLR 201;
12577;BIOL;335;502;CS;4;INVERTEBRATE ZOOLOGY (Syllabus);MWF;11:30 am-12:20 pm;14;14;0;Mary Wicksten (P);01/17-05/08;BTLR 309;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;M;03:00 pm-05:50 pm;;;;Mary Wicksten;01/17-05/08;BTLR 201;
10369;BIOL;344;501;CS;4;EMBRYOLOGY (Syllabus);MWF;09:10 am-10:00 am;15;5;10;Bruce Riley (P);01/17-05/08;BLOC 457;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;02:20 pm-05:10 pm;;;;Bruce Riley;01/17-05/08;BTLR 004;
10370;BIOL;344;502;CS;4;EMBRYOLOGY (Syllabus);MWF;09:10 am-10:00 am;15;6;9;Bruce Riley (P);01/17-05/08;BLOC 457;Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;W;03:00 pm-05:50 pm;;;;Bruce Riley;01/17-05/08;BTLR 004;
32546;BIOL;350;501;CS;3;COMPUTATIONAL GENOMICS (Syllabus);MWF;10:20 am-12:20 pm;30;31;-1;Rodolfo Aramayo (P);01/17-03/09;WCLF 126;NonTraditional Format Approved
;;;;;;(Restrictions/Details);;;;;;;;;
12590;BIOL;351;901;CS;4;FUND OF MICROBIOL (Syllabus);MWF;11:30 am-12:20 pm;20;28;-8;Deborah Siegele (P);01/17-05/08;HELD 200;Univ Req-Writing Intensive and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;MW;08:00 am-09:50 am;;;;Rachel N. Wright;01/17-05/08;BSBE 312;
12585;BIOL;351;902;CS;4;FUND OF MICROBIOL (Syllabus);MWF;11:30 am-12:20 pm;20;20;0;Deborah Siegele (P);01/17-05/08;HELD 200;Univ Req-Writing Intensive and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;MW;01:00 pm-02:50 pm;;;;Deborah Siegele;01/17-05/08;BSBE 312;
12586;BIOL;351;903;CS;4;FUND OF MICROBIOL (Syllabus);MWF;11:30 am-12:20 pm;20;20;0;Deborah Siegele (P);01/17-05/08;HELD 200;Univ Req-Writing Intensive and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;MW;03:00 pm-04:50 pm;;;;Deborah Siegele;01/17-05/08;BSBE 312;
12587;BIOL;351;904;CS;4;FUND OF MICROBIOL (Syllabus);MWF;11:30 am-12:20 pm;20;20;0;Deborah Siegele (P);01/17-05/08;HELD 200;Univ Req-Writing Intensive and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;MW;05:00 pm-06:50 pm;;;;Deborah Siegele;01/17-05/08;BSBE 312;
12588;BIOL;351;905;CS;4;FUND OF MICROBIOL (Syllabus);MWF;11:30 am-12:20 pm;15;10;5;Deborah Siegele (P);01/17-05/08;HELD 200;Univ Req-Writing Intensive and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;TR;08:00 am-09:50 am;;;;Rachel N. Wright;01/17-05/08;BSBE 312;
12589;BIOL;351;906;CS;4;FUND OF MICROBIOL (Syllabus);MWF;11:30 am-12:20 pm;20;20;0;Deborah Siegele (P);01/17-05/08;HELD 200;Univ Req-Writing Intensive and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;TR;10:00 am-11:50 am;;;;Rachel N. Wright;01/17-05/08;BSBE 312;
19409;BIOL;351;907;CS;4;FUND OF MICROBIOL (Syllabus);MWF;11:30 am-12:20 pm;20;20;0;Deborah Siegele (P);01/17-05/08;HELD 200;Univ Req-Writing Intensive and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;TR;01:00 pm-02:50 pm;;;;Deborah Siegele;01/17-05/08;BSBE 312;
12591;BIOL;351;908;CS;4;FUND OF MICROBIOL (Syllabus);TR;12:45 pm-02:00 pm;20;19;1;Matthew Sachs (P), Joseph A. Sorg;01/17-05/08;HELD 200;Univ Req-Writing Intensive and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;TR;03:00 pm-04:50 pm;;;;Matthew Sachs;01/17-05/08;BSBE 312;
12592;BIOL;351;909;CS;4;FUND OF MICROBIOL (Syllabus);TR;12:45 pm-02:00 pm;20;20;0;Matthew Sachs (P), Joseph A. Sorg;01/17-05/08;HELD 200;Univ Req-Writing Intensive and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;TR;05:00 pm-06:50 pm;;;;Matthew Sachs;01/17-05/08;BSBE 312;
12593;BIOL;351;910;CS;4;FUND OF MICROBIOL (Syllabus);MW;08:00 am-09:50 am;19;19;0;Phillip Beremand;01/17-05/08;BSBE 308;Univ Req-Writing Intensive and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;TR;12:45 pm-02:00 pm;;;;Matthew Sachs (P), Joseph A. Sorg;01/17-05/08;HELD 200;
12594;BIOL;351;911;CS;4;FUND OF MICROBIOL (Syllabus);MW;10:00 am-11:50 am;20;16;4;Phillip Beremand;01/17-05/08;BSBE 308;Univ Req-Writing Intensive and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;TR;12:45 pm-02:00 pm;;;;Joseph A. Sorg (P), Matthew Sachs;01/17-05/08;HELD 200;
29241;BIOL;351;912;CS;4;FUND OF MICROBIOL (Syllabus);MW;01:00 pm-02:50 pm;20;20;0;Phillip Beremand;01/17-05/08;BSBE 308;Univ Req-Writing Intensive and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;TR;12:45 pm-02:00 pm;;;;Joseph A. Sorg (P), Matthew Sachs;01/17-05/08;HELD 200;
14177;BIOL;351;913;CS;4;FUND OF MICROBIOL (Syllabus);MW;03:00 pm-04:50 pm;20;19;1;Phillip Beremand;01/17-05/08;BSBE 308;Univ Req-Writing Intensive and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;TR;12:45 pm-02:00 pm;;;;Joseph A. Sorg (P), Matthew Sachs;01/17-05/08;HELD 200;
19408;BIOL;351;914;CS;4;FUND OF MICROBIOL (Syllabus);MW;10:00 am-11:50 am;20;18;2;Rachel N. Wright;01/17-05/08;BSBE 312;Univ Req-Writing Intensive and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;TR;12:45 pm-02:00 pm;;;;Joseph A. Sorg (P), Matthew Sachs;01/17-05/08;HELD 200;
32751;BIOL;351;915;CS;4;FUND OF MICROBIOL (Syllabus);MWF;11:30 am-12:20 pm;20;20;0;Deborah Siegele (P);01/17-05/08;HELD 200;Univ Req-Writing Intensive and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;MW;07:00 pm-08:50 pm;;;;Deborah Siegele;01/17-05/08;BSBE 312;
10371;BIOL;357;500;CS;3;ECOLOGY (Syllabus);TR;03:55 pm-05:10 pm;100;39;61;Joseph Bernardo (P);01/17-05/08;HECC 203;
;;;;;;(Restrictions/Details);;;;;;;;;
13267;BIOL;388;931;CS;4;PRNCPLS OF ANML PHSLGY;TR;12:45 pm-02:00 pm;18;10;8;Allison A. St. Clair (P);01/17-05/08;HELD 111;Univ Req-Oral Communication and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;02:20 pm-05:10 pm;;;;Allison A. St. Clair;01/17-05/08;BTLR 002;
13273;BIOL;388;932;CS;4;PRNCPLS OF ANML PHSLGY;TR;12:45 pm-02:00 pm;18;8;10;Allison A. St. Clair (P);01/17-05/08;HELD 111;Univ Req-Oral Communication and Lab Safety Acknowledgment
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;W;11:30 am-02:20 pm;;;;Allison A. St. Clair;01/17-05/08;BTLR 002;
13276;BIOL;388;933;CS;4;PRNCPLS OF ANML PHSLGY;TR;12:45 pm-02:00 pm;18;8;10;Allison A. St. Clair (P);01/17-05/08;HELD 111;Univ Req-Oral Communication and Lab Safety Acknowledgment
