ACCT - Accounting;;;;;;;;;;;;;;;
CRN;Subj;Crse;Sec;Cmp;Cred;Title;Days;Time;Cap;Act;Rem;Instructor;Date (MM/DD);Location;Attribute
;;;;;;;;;;;;Click name to see CV;;;
;;;;;;;T;07:15 pm-09:00 pm;;;;Michael J. Head (P);02/20-02/20;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Michael J. Head (P);03/27-03/27;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Michael J. Head (P);04/24-04/24;TBA;
27384;ACCT;229;511;CS;3;INTRO ACCOUNTING (Syllabus);MW;11:10 am-12:25 pm;68;69;-1;Lindsey E. Mudge (P);01/17-05/08;WCBA 111;
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;07:15 pm-09:00 pm;;;;Lindsey E. Mudge (P);02/20-02/20;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Lindsey E. Mudge (P);03/27-03/27;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Lindsey E. Mudge (P);04/24-04/24;TBA;
27855;ACCT;229;512;CS;3;INTRO ACCOUNTING (Syllabus);MW;12:45 pm-02:00 pm;46;46;0;Lindsey E. Mudge (P);01/17-05/08;WCBA 104;
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;07:15 pm-09:00 pm;;;;Lindsey E. Mudge (P);02/20-02/20;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Lindsey E. Mudge (P);03/27-03/27;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Lindsey E. Mudge (P);04/24-04/24;TBA;
27856;ACCT;229;513;CS;3;INTRO ACCOUNTING (Syllabus);TR;09:35 am-10:50 am;55;56;-1;Lindsey E. Mudge (P);01/17-05/08;WCBA 155;
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;07:15 pm-09:00 pm;;;;Lindsey E. Mudge (P);02/20-02/20;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Lindsey E. Mudge (P);03/27-03/27;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Lindsey E. Mudge (P);04/24-04/24;TBA;
27857;ACCT;229;514;CS;3;INTRO ACCOUNTING (Syllabus);TR;11:10 am-12:25 pm;55;56;-1;Lindsey E. Mudge (P);01/17-05/08;WCBA 155;
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;07:15 pm-09:00 pm;;;;Lindsey E. Mudge (P);02/20-02/20;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Lindsey E. Mudge (P);03/27-03/27;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Lindsey E. Mudge (P);04/24-04/24;TBA;
10010;ACCT;230;201;CS;3;HNR-INTRO ACCOUNTING (Syllabus);MW;02:20 pm-03:35 pm;25;25;0;Natalie L. Allen (P);01/17-05/08;WCBA 462;Honors and NonTraditional Format Approved
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;07:15 pm-09:00 pm;;;;Natalie L. Allen (P);02/13-02/13;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Natalie L. Allen (P);03/06-03/06;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Natalie L. Allen (P);04/10-04/10;TBA;
10012;ACCT;230;501;CS;3;INTRO ACCOUNTING (Syllabus);MW;10:20 am-11:10 am;218;218;0;Natalie L. Allen (P);01/17-05/08;WCBA 114;NonTraditional Format Approved
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;07:15 pm-09:00 pm;;;;Natalie L. Allen (P);02/13-02/13;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Natalie L. Allen (P);03/06-03/06;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Natalie L. Allen (P);04/10-04/10;TBA;
